Municipality,Composition,Percent of of Commercial Waste
Rajbiraj,Rubber and Leather,0.61
Rajbiraj,Others,11.58
Ramgram,Organic Waste,43.12
Ramgram,Plastics,21.83
Ramgram,Paper and Paper Products,22.31
Ramgram,Glass,0
Ramgram,Metals,1.18
Ramgram,Textiles,5.33
Ramgram,Rubber and Leather,0
Ramgram,Others,6.23
Ratnanagar,Organic Waste,38.12
Ratnanagar,Plastics,22.96
Ratnanagar,Paper and Paper Products,26.24
Ratnanagar,Glass,4.3
Ratnanagar,Metals,2.7
Ratnanagar,Textiles,2.43
Ratnanagar,Rubber and Leather,1.29
Ratnanagar,Others,1.96
Sidharthanagar,Organic Waste,37.44
Sidharthanagar,Plastics,47.14
Sidharthanagar,Paper and Paper Products,15.13
Sidharthanagar,Glass,0
Sidharthanagar,Metals,0.3
Sidharthanagar,Textiles,0
Sidharthanagar,Rubber and Leather,0
Sidharthanagar,Others,0
Siraha,Organic Waste,48.36
Siraha,Plastics,7.64
Siraha,Paper and Paper Products,27.99
Siraha,Glass,7.35
Siraha,Metals,1.97
Siraha,Textiles,0.44
Siraha,Rubber and Leather,2.14
Siraha,Others,4.11
Tansen,Organic Waste,46.49
Tansen,Plastics,10.8
Tansen,Paper and Paper Products,24.53
Tansen,Glass,3.36
Tansen,Metals,1.57
Tansen,Textiles,0.2
Tansen,Rubber and Leather,0.29
Tansen,Others,12.76
Tikapur,Organic Waste,28.4
Tikapur,Plastics,18.44
Tikapur,Paper and Paper Products,33.05
Tikapur,Glass,5.58
Tikapur,Metals,9.27
Tikapur,Textiles,5.27
Tikapur,Rubber and Leather,0
Tikapur,Others,0
Triyuga,Organic Waste,51.93
Triyuga,Plastics,13.9
Triyuga,Paper and Paper Products,17.49
Triyuga,Glass,1.49
Triyuga,Metals,0
Triyuga,Textiles,6.13
Triyuga,Rubber and Leather,0
Triyuga,Others,9.08
Tulsipur,Organic Waste,38.47
Tulsipur,Plastics,17.01
Tulsipur,Paper and Paper Products,13.64
Tulsipur,Glass,14.32
Tulsipur,Metals,9.47
Tulsipur,Textiles,0.08
Tulsipur,Rubber and Leather,1.46
Tulsipur,Others,5.55
Waling,Organic Waste,51.04
Waling,Plastics,12
Waling,Paper and Paper Products,15.59
Waling,Glass,9.64
Waling,Metals,1.39
Waling,Textiles,1.95
Waling,Rubber and Leather,0
Waling,Others,8.4
