Municipality,Category ,Year,NRs million
Nepalgunj,Total Municipal Budget  ,FY2013,151.11
Nepalgunj,Total SWM Budget  ,FY2011,5.1
Nepalgunj,Total  SWM Budget  ,,1.63
Nepalgunj,Total SWM Budget  ,FY2013,20.62
Panauti,"Total Municipal Budget 
 ",FY2011,155.05
Panauti,Total Municipal Budget  ,,130.89
Panauti,Total Municipal Budget  ,FY2013,98.55
Panauti,Total SWM Budget  ,FY2011,1.02
Panauti,Total  SWM Budget  ,,3.65
Panauti,Total SWM Budget  ,FY2013,1.68
Pokhara SMPC,"Total Municipal Budget 
 ",FY2011,273.04
Pokhara SMPC,Total Municipal Budget  ,,322.25
Pokhara SMPC,Total Municipal Budget  ,FY2013,368.58
Pokhara SMPC,Total SWM Budget  ,FY2011,24.5
Pokhara SMPC,Total  SWM Budget  ,,28.6
Pokhara SMPC,Total SWM Budget  ,FY2013,30.33
Putalibazar,"Total Municipal Budget 
 ",FY2011,39.19
Putalibazar,Total Municipal Budget  ,,49.13
Putalibazar,Total Municipal Budget  ,FY2013,80.26
Putalibazar,Total SWM Budget  ,FY2011,1.2
Putalibazar,Total  SWM Budget  ,,1.8
Putalibazar,Total SWM Budget  ,FY2013,1.75
Rajbiraj,"Total Municipal Budget 
 ",FY2011,41.59
Rajbiraj,Total Municipal Budget  ,,54.86
Rajbiraj,Total Municipal Budget  ,FY2013,105.3
Rajbiraj,Total SWM Budget  ,FY2011,3.63
Rajbiraj,Total  SWM Budget  ,,2.61
Rajbiraj,Total SWM Budget  ,FY2013,3.8
Ramgram,"Total Municipal Budget 
 ",FY2011,55.22
Ramgram,Total Municipal Budget  ,,62.55
Ramgram,Total Municipal Budget  ,FY2013,62.93
Ramgram,Total SWM Budget  ,FY2011,0.5
Ramgram,Total  SWM Budget  ,,0.61
Ramgram,Total SWM Budget  ,FY2013,0.8
Ratnanagar,"Total Municipal Budget 
 ",FY2011,70.68
Ratnanagar,Total Municipal Budget  ,,88.34
Ratnanagar,Total Municipal Budget  ,FY2013,92.33
Ratnanagar,Total SWM Budget  ,FY2011,1.54
Ratnanagar,Total  SWM Budget  ,,2.88
Ratnanagar,Total SWM Budget  ,FY2013,2.95
Siddharthanagar,"Total Municipal Budget 
 ",FY2011,108.92
Siddharthanagar,Total Municipal Budget  ,,125.68
Siddharthanagar,Total Municipal Budget  ,FY2013,150.59
Siddharthanagar,Total SWM Budget  ,FY2011,4.58
Siddharthanagar,Total  SWM Budget  ,,5.35
Siddharthanagar,Total SWM Budget  ,FY2013,6.53
Siraha,"Total Municipal Budget 
 ",FY2011,70.4
Siraha,Total Municipal Budget  ,,67.53
Siraha,Total Municipal Budget  ,FY2013,54.05
Siraha,Total SWM Budget  ,FY2011,0.35
Siraha,Total  SWM Budget  ,,0.4
Siraha,Total SWM Budget  ,FY2013,0.5
Tansen,"Total Municipal Budget 
 ",FY2011,21.55
Tansen,Total Municipal Budget  ,,32.54
Tansen,Total Municipal Budget  ,FY2013,74.61
Tansen,Total SWM Budget  ,FY2011,2.45
Tansen,Total  SWM Budget  ,,2.76
Tansen,Total SWM Budget  ,FY2013,4.2
Tikapur,"Total Municipal Budget 
 ",FY2011,67.46
Tikapur,Total Municipal Budget  ,,...
Tikapur,Total Municipal Budget  ,FY2013,...
Tikapur,Total SWM Budget  ,FY2011,0.1
Tikapur,Total  SWM Budget  ,,...
Tikapur,Total SWM Budget  ,FY2013,...
Triyuga,"Total Municipal Budget 
 ",FY2011,79.55
Triyuga,Total Municipal Budget  ,,119.9
Triyuga,Total Municipal Budget  ,FY2013,107.4
Triyuga,Total SWM Budget  ,FY2011,1.12
Triyuga,Total  SWM Budget  ,,1.43
Triyuga,Total SWM Budget  ,FY2013,1.5
Tulsipur,"Total Municipal Budget 
 ",FY2011,48.51
Tulsipur,Total Municipal Budget  ,,54.13
Tulsipur,Total Municipal Budget  ,FY2013,96.56
Tulsipur,Total SWM Budget  ,FY2011,2
Tulsipur,Total  SWM Budget  ,,3
Tulsipur,Total SWM Budget  ,FY2013,1.25
Waling,"Total Municipal Budget 
 ",FY2011,42.22
Waling,Total Municipal Budget  ,,46.47
Waling,Total Municipal Budget  ,FY2013,51.57
Waling,Total SWM Budget  ,FY2011,0.43
Waling,Total  SWM Budget  ,,0.31
Waling,Total SWM Budget  ,FY2013,0.55
